Year,Team,Sample,Tm.FT_Perc,GMS,W,L,Tm.Pts,Opp.Pts
2000,SEA,Annual,0.695408163,82,45,37,8125,8047
2000,TOR,Annual,0.765473888,82,45,37,7968,7981
2000,UTA,Annual,0.77255814,82,55,27,7914,7548
2000,VAN,Annual,0.773786408,82,22,60,7702,8163
2000,WAS,Annual,0.74323683,82,29,53,7921,8190
2001,ATL,Annual,0.758696853,82,25,57,7459,7886
2001,BOS,Annual,0.740182648,82,36,46,7759,7934
2001,CHH,Annual,0.745107176,82,46,36,7539,7367
2001,CHI,Annual,0.7386066,82,15,67,7181,7927
2001,CLE,Annual,0.765196078,82,30,52,7561,7909
2001,DAL,Annual,0.794268168,82,53,29,8239,7888
2001,DEN,Annual,0.737270876,82,40,42,7918,8120
2001,DET,Annual,0.721003135,82,32,50,7837,7976
2001,GSW,Annual,0.705533597,82,17,65,7584,8326
2001,HOU,Annual,0.758389262,82,45,37,7972,7784
2001,IND,Annual,0.766052763,82,41,41,7591,7607
2001,LAC,Annual,0.693352741,82,31,51,7581,7818
2001,LAL,Annual,0.683240463,82,56,26,8251,7974
2001,MIA,Annual,0.759338314,82,50,32,7289,7101
2001,MIL,Annual,0.786552828,82,52,30,8260,7942
2001,MIN,Annual,0.785261946,82,47,35,7982,7871
2001,NJN,Annual,0.759086673,82,26,56,7552,7966
2001,NYK,Annual,0.795599305,82,48,34,7275,7059
2001,ORL,Annual,0.713733075,82,43,39,7992,7911
2001,PHI,Annual,0.745278876,82,56,26,7763,7412
2001,PHO,Annual,0.755195134,82,51,31,7710,7529
2001,POR,Annual,0.761979989,82,50,32,7824,7480
2001,SAC,Annual,0.771084337,82,55,27,8343,7866
2001,SAS,Annual,0.714957265,82,58,24,7886,7250
2001,SEA,Annual,0.732124874,82,44,38,7978,7976
2001,TOR,Annual,0.746975806,82,47,35,8007,7822
2001,UTA,Annual,0.751754386,82,53,29,7959,7574
2001,VAN,Annual,0.770084567,82,23,59,7522,7992
